nbn_atlas_record_id,occurrence_id,licence,rightsholder,scientific_name,taxon_author,name_qualifier,common_name,species_id_tvk,taxon_rank,occurrence_status,start_date,start_date_day,start_date_month,start_date_year,end_date,end_date_day,end_date_month,end_date_year,locality,osgr,coordinate_uncertainty_m,verbatim_depth,recorder,determiner,individual_count,abundance,abundance_scale,organism_scope,organism_remarks,sex,life_stage,occurrence_remarks,identification_verification_status,basis_of_record,survey_key,dataset_name,dataset_id,data_provider,data_provider_id,institution_code,kingdom,phylum,class,order,family,genus,osgr_100km,osgr_10km,osgr_2km,osgr_1km,country,state_province,vitality,lep14cd,lep14nm,longitude_wgs84,latitude_wgs84
fd248102-9438-493c-93e9-70272dc053e7,27020,CC-BY-NC,The Road Lab,Lutra lutra,"(Linnaeus, 1758)",,Eurasian Otter,NBNSYS0000005133,species,present,2020-04-09,09,04,2020,,,,,,ST7660,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,ST,ST76,ST76Q,ST7660,United Kingdom,England,dead,E37000037,West of England,-2.34,51.34
fc4be255-0e8d-4414-b836-65c2145ee647,38991,CC-BY-NC,The Road Lab,Lutra lutra,"(Linnaeus, 1758)",,Eurasian Otter,NBNSYS0000005133,species,present,2020-04-13,13,04,2020,,,,,,ST6778,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,ST,ST67,ST67U,ST6778,United Kingdom,England,dead,E37000037,West of England,-2.4700000000000006,51.510000000000005
f630081e-db2b-4c6e-8b83-9e3ecaea2d5c,27004,CC-BY-NC,The Road Lab,Phasianus colchicus,"Linnaeus, 1758",,Pheasant,NHMSYS0000530559,species,present,2020-04-02,02,04,2020,,,,,,ST5115475860,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,ST,ST57,ST57C,ST5175,United Kingdom,England,dead,E37000037,West of England,-2.704764,51.479576
f2d12d33-3bfe-403e-beee-3c09f4af3e52,25416,CC-BY-NC,The Road Lab,Mustelidae,"Fischer, 1817",,,NHMSYS0021053566,family,present,2020-04-21,21,04,2020,,,,,,ST6190683548,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,,ST,ST68,ST68B,ST6183,United Kingdom,England,dead,E37000037,West of England,-2.550779,51.549528
f19b824f-c2be-46c0-b847-6f9aa4aa79bb,25394,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-04-01,01,04,2020,,,,,,ST5485,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST58,ST58M,ST5485,United Kingdom,England,dead,E37000037,West of England,-2.66,51.56
f05c8f3c-7914-4987-9e81-ddd3f666f110,90929,CC-BY-NC,The Road Lab,Phasianus colchicus,"Linnaeus, 1758",,Pheasant,NHMSYS0000530559,species,present,2020-04-29,29,04,2020,,,,,,ST6914193652,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,ST,ST69,ST69W,ST6993,United Kingdom,England,dead,E37000037,West of England,-2.447333,51.640817
f05779e7-6062-40dc-93de-b140dcd83499,82719,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-04-26,26,04,2020,,,,,,ST7766,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST76,ST76T,ST7766,United Kingdom,England,dead,E37000037,West of England,-2.32,51.39
ec3b69de-cdc2-465d-b806-6a5896e5d3ef,59583,CC-BY-NC,The Road Lab,Buteo buteo,"(Linnaeus, 1758)",,Buzzard,NHMSYS0000530225,species,present,2020-04-13,13,04,2020,,,,,,ST6104384995,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,ST,ST68,ST68C,ST6184,United Kingdom,England,dead,E37000037,West of England,-2.563386,51.562478
fc6be8fc-8e2a-4902-879d-8a8a4fd487e3,43862,CC-BY-NC,The Road Lab,Erinaceus europaeus,"Linnaeus, 1758",,West European Hedgehog,NBNSYS0000005078,species,present,2020-06-05,05,06,2020,,,,,,ST6784267279,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,ST,ST66,ST66T,ST6767,United Kingdom,England,dead,E37000037,West of England,-2.4636880000000003,51.40362
eabb03df-d829-46f2-8599-eaa9df27beb5,35515,CC-BY-NC,The Road Lab,Erinaceus europaeus,"Linnaeus, 1758",,West European Hedgehog,NBNSYS0000005078,species,present,2020-04-01,01,04,2020,,,,,,ST5752473153,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,ST,ST57,ST57R,ST5773,United Kingdom,England,dead,E37000037,West of England,-2.612717,51.455753
